Date,Flight_Number,Class,Price,Flow Card?,Origin,Destination
2024-03-26,PA008,Business Class,484.79999999999995,No,Perth,New York
2024-08-07,PA005,Business Class,739.19999999999993,Yes,London,Tokyo
2024-11-17,PA009,First Class,578,No,New York,Tokyo
2024-02-12,PA010,Premium Economy,842.5,No,Tokyo,New York
2024-05-05,PA012,Business Class,788.39999999999998,No,Tokyo,Perth
2024-02-25,PA010,Economy,1495,Yes,Tokyo,New York
2024-08-30,PA005,First Class,417,No,London,Tokyo
2024-12-04,PA003,Economy,2820,Yes,London,Perth
2024-02-13,PA005,First Class,693,Yes,London,Tokyo
2024-12-24,PA006,Premium Economy,1710,No,Tokyo,London
2024-03-23,PA005,Economy,3375,Yes,London,Tokyo
2024-10-09,PA012,Economy,1340,Yes,Tokyo,Perth
2024-07-05,PA005,Premium Economy,1677.5,Yes,London,Tokyo
2024-05-19,PA004,Business Class,811.19999999999993,No,Perth,London
2024-06-09,PA003,Business Class,432,Yes,London,Perth
2024-03-21,PA002,First Class,230,No,New York,London
2024-10-06,PA001,Business Class,349.19999999999999,No,London,New York
2024-04-16,PA010,Economy,3105,Yes,Tokyo,New York
2024-08-19,PA001,Economy,2550,Yes,London,New York
2024-07-16,PA003,First Class,284,Yes,London,Perth
2024-05-31,PA009,Economy,2450,Yes,New York,Tokyo
2024-07-25,PA007,Business Class,573.60000000000002,Yes,New York,Perth
2024-01-06,PA008,Premium Economy,820,No,Perth,New York
2024-06-01,PA006,First Class,416,No,Tokyo,London
2024-11-21,PA006,Economy,2270,Yes,Tokyo,London
2024-07-28,PA010,Premium Economy,1020,Yes,Tokyo,New York
2024-11-06,PA001,Business Class,546,No,London,New York
2024-03-16,PA011,Economy,3210,No,Perth,Tokyo
2024-08-16,PA007,Premium Economy,1665,Yes,New York,Perth
2024-03-18,PA003,Business Class,615.60000000000002,Yes,London,Perth
2024-09-21,PA002,Premium Economy,1175,Yes,New York,London
2024-07-05,PA001,Premium Economy,850,Yes,London,New York
2024-05-16,PA009,Economy,1540,No,New York,Tokyo
2024-08-20,PA010,Premium Economy,1365,Yes,Tokyo,New York
2024-10-15,PA008,Business Class,386.39999999999998,Yes,Perth,New York
2024-12-12,PA010,Business Class,793.19999999999993,Yes,Tokyo,New York
2024-02-14,PA006,Business Class,270,Yes,Tokyo,London
2024-11-23,PA003,Business Class,538.79999999999995,Yes,London,Perth
2024-05-09,PA012,Economy,3325,No,Tokyo,Perth
2024-02-14,PA002,First Class,296,Yes,New York,London
2024-05-17,PA003,Business Class,379.19999999999999,Yes,London,Perth
2024-05-23,PA004,Economy,3375,No,Perth,London
2024-12-18,PA002,Economy,2910,No,New York,London
2024-06-02,PA007,First Class,612,Yes,New York,Perth
2024-02-02,PA012,Economy,3155,No,Tokyo,Perth
2024-07-23,PA005,Premium Economy,1015,Yes,London,Tokyo
2024-08-21,PA012,Business Class,572.39999999999998,Yes,Tokyo,Perth
2024-10-20,PA002,Premium Economy,1547.5,No,New York,London
2024-11-26,PA006,Economy,1550,No,Tokyo,London
2024-03-17,PA005,Economy,2380,Yes,London,Tokyo
2024-11-04,PA008,Business Class,764.39999999999998,No,Perth,New York
2024-09-14,PA003,Business Class,654,No,London,Perth
2024-11-27,PA007,Premium Economy,692.5,Yes,New York,Perth
2024-07-25,PA009,Business Class,734.39999999999998,Yes,New York,Tokyo
2024-05-13,PA006,Premium Economy,1520,Yes,Tokyo,London
2024-03-17,PA004,Premium Economy,1230,No,Perth,London
2024-12-31,PA006,Business Class,783.60000000000002,No,Tokyo,London
2024-05-13,PA010,First Class,493,No,Tokyo,New York
2024-08-07,PA004,Economy,2025,No,Perth,London
2024-12-05,PA007,First Class,523,No,New York,Perth
2024-09-28,PA011,Premium Economy,1397.5,Yes,Perth,Tokyo
2024-06-14,PA009,First Class,383,Yes,New York,Tokyo
2024-06-08,PA007,Economy,2825,Yes,New York,Perth
2024-11-29,PA010,Business Class,325.19999999999999,No,Tokyo,New York
2024-05-30,PA003,Business Class,828,No,London,Perth
2024-01-09,PA002,First Class,342,Yes,New York,London
2024-11-22,PA003,Economy,2245,Yes,London,Perth
2024-03-06,PA010,First Class,563,No,Tokyo,New York
2024-09-04,PA002,Premium Economy,1387.5,Yes,New York,London
2024-09-19,PA009,Premium Economy,675,Yes,New York,Tokyo
2024-02-27,PA004,First Class,535,Yes,Perth,London
2024-10-19,PA001,Premium Economy,545,Yes,London,New York
2024-04-21,PA001,First Class,202,No,London,New York
2024-03-26,PA012,First Class,566,Yes,Tokyo,Perth
2024-08-07,PA006,First Class,468,No,Tokyo,London
2024-05-05,PA002,Premium Economy,850,No,New York,London
2024-09-27,PA002,Premium Economy,625,Yes,New York,London
2024-05-11,PA006,First Class,208,Yes,Tokyo,London
2024-06-25,PA012,Economy,2080,Yes,Tokyo,Perth
2024-08-03,PA002,First Class,284,Yes,New York,London
2024-06-10,PA004,Economy,1710,No,Perth,London
2024-05-11,PA009,Premium Economy,1497.5,No,New York,Tokyo
2024-11-21,PA007,Business Class,715.19999999999993,No,New York,Perth
2024-04-27,PA011,Economy,3245,Yes,Perth,Tokyo
2024-04-09,PA006,Premium Economy,710,Yes,Tokyo,London
2024-11-19,PA003,Premium Economy,1357.5,Yes,London,Perth
2024-06-24,PA006,First Class,245,Yes,Tokyo,London
2024-02-12,PA011,Business Class,505.19999999999999,Yes,Perth,Tokyo
2024-03-04,PA008,Business Class,538.79999999999995,Yes,Perth,New York
2024-12-15,PA009,Economy,1310,Yes,New York,Tokyo
2024-06-12,PA007,Premium Economy,817.5,No,New York,Perth
2024-10-14,PA005,Economy,1490,No,London,Tokyo
2024-09-25,PA008,First Class,642,Yes,Perth,New York
2024-03-31,PA010,Premium Economy,1282.5,No,Tokyo,New York
2024-02-23,PA002,Premium Economy,547.5,Yes,New York,London
2024-02-14,PA009,First Class,473,No,New York,Tokyo
2024-09-04,PA012,Premium Economy,1177.5,No,Tokyo,Perth
2024-01-27,PA004,Premium Economy,1147.5,Yes,Perth,London
2024-06-29,PA005,Business Class,639.60000000000002,No,London,Tokyo
2024-06-20,PA008,First Class,217,Yes,Perth,New York
2024-10-14,PA011,Economy,2180,Yes,Perth,Tokyo
2024-04-01,PA004,Business Class,261.59999999999997,Yes,Perth,London
2024-06-18,PA004,First Class,443,No,Perth,London
2024-08-04,PA006,Business Class,832.79999999999995,No,Tokyo,London
2024-08-03,PA005,First Class,590,No,London,Tokyo
2024-03-02,PA003,Business Class,439.19999999999999,No,London,Perth
2024-07-07,PA004,Business Class,242.39999999999998,No,Perth,London
2024-10-18,PA010,Premium Economy,1642.5,No,Tokyo,New York
2024-08-04,PA011,Economy,1005,Yes,Perth,Tokyo
2024-07-10,PA012,First Class,287,No,Tokyo,Perth
2024-06-15,PA009,First Class,500,No,New York,Tokyo
2024-03-02,PA006,Economy,3070,No,Tokyo,London
2024-04-09,PA007,Premium Economy,842.5,Yes,New York,Perth
2024-03-17,PA012,Premium Economy,587.5,No,Tokyo,Perth
2024-10-28,PA012,Economy,1235,No,Tokyo,Perth
2024-11-06,PA001,Premium Economy,1270,No,London,New York
2024-08-18,PA002,Premium Economy,1360,Yes,New York,London
2024-08-13,PA004,Premium Economy,735,No,Perth,London
2024-04-17,PA002,Economy,1630,Yes,New York,London
2024-01-15,PA004,Premium Economy,1472.5,Yes,Perth,London
2024-02-10,PA009,First Class,368,Yes,New York,Tokyo
2024-05-22,PA007,Economy,2645,No,New York,Perth
2024-06-02,PA006,Premium Economy,1735,Yes,Tokyo,London
2024-05-18,PA008,Business Class,271.19999999999999,No,Perth,New York
2024-10-06,PA010,Premium Economy,992.5,Yes,Tokyo,New York
2024-04-01,PA005,Premium Economy,1597.5,No,London,Tokyo
2024-07-20,PA006,First Class,215,No,Tokyo,London
2024-02-15,PA012,First Class,208,No,Tokyo,Perth
2024-02-08,PA009,Premium Economy,610,No,New York,Tokyo
2024-06-03,PA011,First Class,201,Yes,Perth,Tokyo
2024-03-05,PA001,Economy,2685,No,London,New York
2024-06-17,PA004,Premium Economy,1487.5,No,Perth,London
2024-09-08,PA005,Business Class,422.39999999999998,No,London,Tokyo
2024-12-10,PA002,Economy,3030,Yes,New York,London
2024-12-21,PA001,Business Class,655.19999999999993,Yes,London,New York
2024-10-01,PA005,Economy,1225,No,London,Tokyo
2024-09-10,PA011,Business Class,306,Yes,Perth,Tokyo
2024-09-10,PA006,First Class,670,No,Tokyo,London
2024-03-12,PA006,Economy,3010,Yes,Tokyo,London
2024-10-17,PA005,First Class,228,Yes,London,Tokyo
2024-08-24,PA003,Economy,1780,Yes,London,Perth
2024-12-11,PA004,First Class,595,Yes,Perth,London
2024-05-25,PA001,Economy,1745,No,London,New York
2024-09-27,PA008,Economy,1770,No,Perth,New York
2024-10-08,PA008,Economy,3090,No,Perth,New York
2024-08-01,PA003,Economy,2170,Yes,London,Perth
2024-07-31,PA010,Premium Economy,1412.5,Yes,Tokyo,New York
2024-11-15,PA003,Premium Economy,735,No,London,Perth
2024-01-29,PA004,Business Class,435.59999999999997,No,Perth,London
2024-01-26,PA001,First Class,381,No,London,New York
2024-04-20,PA003,Business Class,688.79999999999995,No,London,Perth
2024-08-12,PA005,Economy,1050,No,London,Tokyo
2024-10-08,PA008,Business Class,249.59999999999999,Yes,Perth,New York
2024-07-04,PA003,Premium Economy,1307.5,No,London,Perth
2024-04-01,PA001,Business Class,512.39999999999998,No,London,New York
2024-04-21,PA004,Business Class,679.19999999999993,No,Perth,London
2024-01-30,PA004,Business Class,246,No,Perth,London
2024-12-12,PA010,Premium Economy,1437.5,Yes,Tokyo,New York
2024-10-14,PA009,Economy,1360,Yes,New York,Tokyo
2024-02-11,PA005,Premium Economy,1567.5,No,London,Tokyo
2024-11-17,PA009,First Class,340,No,New York,Tokyo
2024-08-08,PA012,First Class,426,No,Tokyo,Perth
2024-10-25,PA008,First Class,575,Yes,Perth,New York
2024-12-20,PA002,Business Class,574.79999999999995,No,New York,London
2024-07-02,PA006,First Class,522,No,Tokyo,London
2024-08-07,PA002,Premium Economy,832.5,Yes,New York,London
2024-12-04,PA004,Economy,2540,Yes,Perth,London
2024-07-28,PA005,First Class,263,Yes,London,Tokyo
2024-10-25,PA010,Economy,1170,No,Tokyo,New York
2024-03-12,PA007,Economy,2640,Yes,New York,Perth
2024-05-11,PA003,Economy,2885,Yes,London,Perth
2024-11-18,PA005,Economy,3305,No,London,Tokyo
2024-12-05,PA008,Economy,2200,Yes,Perth,New York
2024-06-02,PA011,Premium Economy,1177.5,No,Perth,Tokyo
2024-08-09,PA009,First Class,612,No,New York,Tokyo
2024-03-13,PA001,Premium Economy,1422.5,Yes,London,New York
2024-08-24,PA010,Economy,2145,No,Tokyo,New York
2024-12-05,PA012,Economy,2230,Yes,Tokyo,Perth
2024-11-11,PA008,Economy,2980,No,Perth,New York
2024-11-02,PA011,First Class,441,No,Perth,Tokyo
2024-08-21,PA008,First Class,300,Yes,Perth,New York
2024-04-06,PA011,Premium Economy,960,No,Perth,Tokyo
2024-10-31,PA010,Premium Economy,780,Yes,Tokyo,New York
2024-01-03,PA007,Economy,3300,No,New York,Perth
2024-11-01,PA009,Premium Economy,1585,Yes,New York,Tokyo
2024-06-04,PA010,First Class,389,Yes,Tokyo,New York
2024-01-02,PA009,Business Class,793.19999999999993,No,New York,Tokyo
2024-06-12,PA012,Business Class,318,Yes,Tokyo,Perth
2024-08-13,PA011,Economy,1165,Yes,Perth,Tokyo
2024-02-03,PA003,Premium Economy,1095,Yes,London,Perth
2024-09-17,PA006,Business Class,543.60000000000002,No,Tokyo,London
2024-03-11,PA009,Business Class,446.39999999999998,No,New York,Tokyo
2024-08-20,PA005,Premium Economy,1632.5,Yes,London,Tokyo
2024-01-20,PA004,First Class,440,Yes,Perth,London
2024-05-04,PA007,Premium Economy,1680,Yes,New York,Perth
2024-10-11,PA002,Business Class,602.39999999999998,No,New York,London
2024-10-31,PA011,Economy,2915,No,Perth,Tokyo
2024-08-25,PA001,First Class,673,No,London,New York
2024-01-03,PA006,Economy,1280,Yes,Tokyo,London
2024-08-15,PA003,Premium Economy,555,No,London,Perth
2024-04-11,PA008,First Class,676,Yes,Perth,New York
2024-03-21,PA004,Business Class,836.39999999999998,Yes,Perth,London
2024-10-18,PA009,Premium Economy,1372.5,No,New York,Tokyo
2024-10-09,PA011,Economy,3065,Yes,Perth,Tokyo
2024-03-20,PA008,First Class,357,No,Perth,New York
2024-01-12,PA008,Business Class,601.19999999999993,No,Perth,New York
2024-05-31,PA007,Premium Economy,725,Yes,New York,Perth
2024-05-19,PA005,Business Class,424.80000000000001,Yes,London,Tokyo
2024-06-13,PA003,Premium Economy,1382.5,No,London,Perth
2024-04-01,PA007,First Class,359,No,New York,Perth
2024-01-25,PA012,Business Class,358.80000000000001,Yes,Tokyo,Perth
2024-01-02,PA003,Premium Economy,1200,Yes,London,Perth
2024-03-22,PA010,Premium Economy,1135,No,Tokyo,New York
2024-05-15,PA008,Business Class,427.19999999999999,Yes,Perth,New York
2024-01-18,PA010,First Class,415,No,Tokyo,New York
2024-04-24,PA010,Economy,2130,Yes,Tokyo,New York
2024-12-12,PA006,Economy,1640,No,Tokyo,London
2024-12-07,PA009,First Class,662,No,New York,Tokyo
2024-11-03,PA012,First Class,242,No,Tokyo,Perth
2024-09-22,PA009,Economy,1690,No,New York,Tokyo
2024-04-28,PA002,Business Class,241.19999999999999,Yes,New York,London
2024-12-13,PA003,Premium Economy,505,Yes,London,Perth
2024-06-07,PA007,Premium Economy,570,No,New York,Perth
2024-06-24,PA012,Premium Economy,1597.5,No,Tokyo,Perth
2024-10-20,PA011,First Class,385,Yes,Perth,Tokyo
2024-04-06,PA005,Economy,2465,No,London,Tokyo
2024-08-27,PA002,First Class,573,Yes,New York,London
2024-11-12,PA003,Economy,2190,Yes,London,Perth
2024-09-11,PA007,Business Class,602.39999999999998,No,New York,Perth
2024-07-23,PA009,Business Class,339.59999999999997,Yes,New York,Tokyo
2024-02-22,PA005,Business Class,468,Yes,London,Tokyo
2024-08-30,PA002,Economy,3095,No,New York,London
2024-09-18,PA001,Economy,1020,Yes,London,New York
2024-12-06,PA011,Business Class,601.19999999999993,Yes,Perth,Tokyo
2024-10-10,PA001,Economy,3035,Yes,London,New York
2024-12-14,PA007,Premium Economy,1305,Yes,New York,Perth
2024-11-07,PA006,First Class,252,Yes,Tokyo,London
2024-11-05,PA002,First Class,652,No,New York,London
2024-03-21,PA003,Business Class,272.39999999999998,Yes,London,Perth
2024-08-07,PA010,Business Class,392.39999999999998,No,Tokyo,New York
2024-02-26,PA009,Premium Economy,1085,Yes,New York,Tokyo
2024-06-03,PA007,Premium Economy,1390,No,New York,Perth
2024-11-21,PA003,First Class,599,No,London,Perth
2024-07-31,PA012,Premium Economy,817.5,Yes,Tokyo,Perth
2024-01-20,PA008,Economy,2330,Yes,Perth,New York
2024-02-16,PA009,Premium Economy,675,No,New York,Tokyo
2024-08-26,PA007,Economy,2235,Yes,New York,Perth
2024-05-30,PA007,Business Class,417.59999999999997,No,New York,Perth
2024-12-27,PA012,First Class,606,No,Tokyo,Perth
2024-04-05,PA005,Economy,3005,Yes,London,Tokyo
2024-01-05,PA010,First Class,681,Yes,Tokyo,New York
2024-03-02,PA006,Business Class,558,Yes,Tokyo,London
2024-03-06,PA009,Economy,1840,Yes,New York,Tokyo
2024-04-16,PA012,First Class,506,Yes,Tokyo,Perth
2024-05-29,PA007,Business Class,240,Yes,New York,Perth
2024-01-04,PA002,Premium Economy,1635,Yes,New York,London
2024-10-31,PA008,Economy,1785,No,Perth,New York
2024-07-07,PA011,Economy,2590,Yes,Perth,Tokyo
2024-10-06,PA003,Business Class,783.60000000000002,Yes,London,Perth
2024-05-03,PA001,Economy,3160,Yes,London,New York
2024-08-09,PA011,First Class,512,Yes,Perth,Tokyo
2024-10-27,PA010,Economy,1715,Yes,Tokyo,New York
2024-06-10,PA009,First Class,517,Yes,New York,Tokyo
2024-12-20,PA006,Economy,2725,Yes,Tokyo,London
2024-02-14,PA007,Business Class,408,No,New York,Perth
2024-11-27,PA012,Economy,2500,Yes,Tokyo,Perth
2024-03-23,PA009,Economy,2300,Yes,New York,Tokyo
2024-07-06,PA003,First Class,305,Yes,London,Perth
2024-12-05,PA002,Business Class,499.19999999999999,Yes,New York,London
2024-08-24,PA003,First Class,294,No,London,Perth
2024-11-22,PA012,Business Class,598.79999999999995,No,Tokyo,Perth
2024-03-27,PA003,Business Class,756,No,London,Perth
2024-04-30,PA012,Economy,1600,No,Tokyo,Perth
2024-09-06,PA006,First Class,489,No,Tokyo,London
2024-02-01,PA005,Premium Economy,1480,No,London,Tokyo
2024-07-09,PA012,Economy,1420,Yes,Tokyo,Perth
2024-11-25,PA012,Premium Economy,1432.5,No,Tokyo,Perth
2024-03-31,PA006,First Class,300,Yes,Tokyo,London
2024-05-12,PA012,Business Class,744,No,Tokyo,Perth
2024-05-06,PA004,First Class,591,Yes,Perth,London
2024-04-10,PA001,Premium Economy,1042.5,Yes,London,New York
2024-07-16,PA010,Economy,1460,No,Tokyo,New York
2024-05-16,PA003,Economy,2925,Yes,London,Perth
2024-12-01,PA008,First Class,340,Yes,Perth,New York
2024-06-26,PA003,Business Class,463.19999999999999,Yes,London,Perth
2024-12-21,PA001,Business Class,325.19999999999999,Yes,London,New York
2024-08-19,PA006,Economy,2000,No,Tokyo,London
2024-07-10,PA007,Economy,1600,Yes,New York,Perth
2024-08-01,PA011,Business Class,452.39999999999998,No,Perth,Tokyo
2024-12-28,PA001,Economy,1105,No,London,New York
2024-11-02,PA006,Economy,2225,No,Tokyo,London
2024-12-16,PA006,Premium Economy,1582.5,Yes,Tokyo,London
2024-05-23,PA003,Economy,2045,Yes,London,Perth
2024-08-14,PA004,Premium Economy,742.5,Yes,Perth,London
2024-09-19,PA011,Business Class,332.39999999999998,Yes,Perth,Tokyo
2024-07-06,PA004,Premium Economy,595,Yes,Perth,London
2024-01-23,PA001,Premium Economy,1290,Yes,London,New York
2024-07-07,PA008,First Class,348,Yes,Perth,New York
2024-09-25,PA007,Premium Economy,522.5,No,New York,Perth
2024-11-06,PA001,Economy,1245,Yes,London,New York
2024-08-19,PA005,Business Class,421.19999999999999,Yes,London,Tokyo
2024-05-06,PA002,Premium Economy,912.5,Yes,New York,London
2024-12-17,PA011,First Class,511,Yes,Perth,Tokyo
2024-07-29,PA011,Business Class,337.19999999999999,Yes,Perth,Tokyo
2024-01-08,PA008,Economy,3065,Yes,Perth,New York
2024-07-01,PA012,Business Class,655.19999999999993,No,Tokyo,Perth
2024-12-20,PA004,Business Class,760.79999999999995,No,Perth,London
2024-12-29,PA003,Premium Economy,1107.5,Yes,London,Perth
2024-07-24,PA005,Business Class,246,No,London,Tokyo
2024-08-29,PA006,First Class,476,Yes,Tokyo,London
2024-04-04,PA012,Business Class,818.39999999999998,Yes,Tokyo,Perth
2024-08-09,PA010,First Class,665,Yes,Tokyo,New York
2024-12-25,PA002,Economy,2905,No,New York,London
2024-04-03,PA004,First Class,427,Yes,Perth,London
2024-08-18,PA005,Economy,1975,No,London,Tokyo
2024-01-12,PA011,Business Class,780,No,Perth,Tokyo
2024-12-03,PA011,Premium Economy,945,No,Perth,Tokyo
2024-12-30,PA011,Premium Economy,745,No,Perth,Tokyo
2024-10-06,PA009,Economy,3165,Yes,New York,Tokyo
2024-07-14,PA006,First Class,630,Yes,Tokyo,London
2024-05-06,PA004,First Class,318,No,Perth,London
2024-01-05,PA012,First Class,436,Yes,Tokyo,Perth
2024-10-09,PA007,Premium Economy,875,No,New York,Perth
2024-03-22,PA007,Economy,2240,Yes,New York,Perth
2024-02-17,PA008,Economy,1340,No,Perth,New York
2024-10-27,PA005,First Class,683,No,London,Tokyo
2024-06-18,PA001,Business Class,280.80000000000001,No,London,New York
2024-05-25,PA010,Business Class,674.39999999999998,Yes,Tokyo,New York
2024-03-20,PA007,Economy,1170,Yes,New York,Perth
2024-12-05,PA009,Business Class,799.19999999999993,No,New York,Tokyo
2024-12-31,PA010,Premium Economy,690,No,Tokyo,New York
2024-02-08,PA006,Business Class,534,No,Tokyo,London
2024-02-21,PA004,First Class,317,No,Perth,London
2024-05-01,PA011,Economy,2780,No,Perth,Tokyo
2024-10-22,PA001,Premium Economy,952.5,Yes,London,New York
2024-12-24,PA005,First Class,244,Yes,London,Tokyo
2024-02-01,PA005,First Class,586,Yes,London,Tokyo
2024-10-10,PA009,Business Class,718.79999999999995,No,New York,Tokyo
2024-02-20,PA002,Premium Economy,1737.5,Yes,New York,London
2024-07-15,PA006,Premium Economy,1342.5,Yes,Tokyo,London
2024-01-07,PA003,Business Class,462,Yes,London,Perth
2024-07-11,PA002,First Class,494,Yes,New York,London
2024-07-05,PA007,Business Class,838.79999999999995,No,New York,Perth
2024-01-08,PA007,Economy,2300,Yes,New York,Perth
2024-02-10,PA005,Business Class,574.79999999999995,No,London,Tokyo
2024-06-09,PA001,Premium Economy,1045,No,London,New York
2024-02-04,PA005,Business Class,328.80000000000001,No,London,Tokyo
2024-08-19,PA002,First Class,213,Yes,New York,London
2024-07-12,PA004,Economy,2430,No,Perth,London
2024-02-08,PA008,Business Class,506.39999999999998,No,Perth,New York
2024-10-21,PA008,Premium Economy,1677.5,No,Perth,New York
2024-04-20,PA003,Economy,2030,No,London,Perth
2024-06-28,PA009,Economy,2850,Yes,New York,Tokyo
2024-06-26,PA004,Business Class,632.39999999999998,No,Perth,London
2024-12-31,PA001,First Class,598,No,London,New York
2024-10-24,PA002,First Class,691,No,New York,London
2024-11-23,PA003,First Class,646,Yes,London,Perth
2024-06-25,PA009,First Class,224,No,New York,Tokyo
2024-10-27,PA012,Premium Economy,1357.5,No,Tokyo,Perth
2024-04-23,PA004,First Class,276,No,Perth,London
2024-08-11,PA012,Premium Economy,1140,Yes,Tokyo,Perth
2024-10-21,PA010,Premium Economy,1125,No,Tokyo,New York
2024-05-02,PA009,Business Class,706.79999999999995,Yes,New York,Tokyo
2024-03-20,PA005,Premium Economy,1577.5,No,London,Tokyo
2024-07-18,PA007,Business Class,709.19999999999993,Yes,New York,Perth
2024-11-25,PA003,Economy,2155,Yes,London,Perth
2024-05-10,PA010,Economy,1820,No,Tokyo,New York
2024-06-10,PA001,Premium Economy,665,Yes,London,New York
2024-10-20,PA001,Business Class,451.19999999999999,Yes,London,New York
2024-03-19,PA012,Economy,2145,No,Tokyo,Perth
2024-10-30,PA011,Economy,2500,No,Perth,Tokyo
2024-07-05,PA004,Premium Economy,1242.5,No,Perth,London
2024-04-20,PA009,Economy,2535,No,New York,Tokyo
2024-04-16,PA009,Business Class,282,Yes,New York,Tokyo
2024-12-26,PA006,Economy,2395,Yes,Tokyo,London
2024-11-28,PA009,Business Class,240,No,New York,Tokyo
2024-03-26,PA011,First Class,645,Yes,Perth,Tokyo
2024-06-23,PA007,First Class,666,Yes,New York,Perth
2024-08-16,PA011,Economy,1810,No,Perth,Tokyo
2024-12-29,PA005,Business Class,745.19999999999993,No,London,Tokyo
2024-09-09,PA012,Business Class,265.19999999999999,Yes,Tokyo,Perth
2024-06-01,PA012,First Class,368,No,Tokyo,Perth
2024-08-15,PA006,Economy,1515,Yes,Tokyo,London
2024-09-09,PA009,Premium Economy,1557.5,Yes,New York,Tokyo
2024-04-07,PA003,Premium Economy,1727.5,Yes,London,Perth
2024-04-30,PA009,Economy,1220,Yes,New York,Tokyo
2024-08-26,PA009,Premium Economy,1452.5,No,New York,Tokyo
2024-10-28,PA010,Business Class,796.79999999999995,Yes,Tokyo,New York
2024-05-25,PA006,First Class,336,No,Tokyo,London
2024-11-11,PA001,Premium Economy,1680,No,London,New York
2024-04-16,PA008,Economy,2235,Yes,Perth,New York
2024-04-04,PA010,First Class,266,No,Tokyo,New York
2024-10-24,PA003,Economy,3235,No,London,Perth
2024-06-27,PA011,First Class,358,No,Perth,Tokyo
2024-08-08,PA011,Business Class,258,No,Perth,Tokyo
2024-08-27,PA003,First Class,694,Yes,London,Perth
2024-02-06,PA012,Premium Economy,570,Yes,Tokyo,Perth
2024-08-10,PA011,Premium Economy,1512.5,No,Perth,Tokyo
2024-05-13,PA009,Premium Economy,1160,No,New York,Tokyo
2024-09-03,PA009,Premium Economy,840,Yes,New York,Tokyo
2024-12-31,PA002,Premium Economy,677.5,Yes,New York,London
2024-04-05,PA012,First Class,336,No,Tokyo,Perth
2024-06-22,PA007,Premium Economy,1127.5,No,New York,Perth
2024-09-13,PA001,Economy,2270,No,London,New York
2024-08-28,PA003,Premium Economy,505,Yes,London,Perth
2024-10-23,PA001,Economy,1155,Yes,London,New York
2024-02-26,PA002,Premium Economy,1382.5,No,New York,London
2024-04-03,PA008,First Class,548,No,Perth,New York
2024-06-06,PA004,Economy,3120,No,Perth,London
2024-10-02,PA011,Business Class,679.19999999999993,Yes,Perth,Tokyo
2024-04-01,PA008,Premium Economy,1530,Yes,Perth,New York
2024-05-09,PA002,Economy,2585,Yes,New York,London
2024-04-25,PA006,Economy,1650,Yes,Tokyo,London
